Regulator	Target
Tbx3	Pdia6
Tcf3	Pdia6
Esrrb	Peg10
Ezh2	Peg10
Klf4	Peg10
Nanog	Peg10
Sox2	Peg10
Suz12	Peg10
Tcf3	Peg10
Sox2	Peg3
Tbx3	Peg3
Esrrb	Pfkp
Klf4	Pfkp
Nanog	Pfkp
Sox2	Pfkp
Suz12	Pfkp
Tbx3	Pfkp
Tcf3	Pfkp
Klf4	Pgrmc2
Nanog	Pgrmc2
Klf4	Phip
Nanog	Phip
Sox2	Phip
Suz12	Phip
Tcf3	Phip
Esrrb	Phlda1
Klf4	Phlda1
Nanog	Phlda1
Sox2	Phlda1
Suz12	Phlda1
Tbx3	Phlda1
Tcf3	Phlda1
Tcf3	Pias2
Esrrb	Pigp
Klf4	Pigp
Sox2	Pigp
Tcf3	Pigp
Suz12	Plod2
Tcf3	Plod2
Esrrb	Pmm1
Sox2	Pmm1
Esrrb	Porcn
Klf4	Porcn
Nanog	Porcn
Sox2	Porcn
Tcf3	Porcn
Esrrb	Ppia
Klf4	Ppia
Nanog	Ppia
Esrrb	Ppig
Klf4	Ppig
Nanog	Ppig
Sox2	Ppig
Suz12	Ppig
Tcf3	Ppig
Sox2	Ppil4
Tbx3	Ppil4
Tcf3	Ppil4
Esrrb	Ppp1r16b
Klf4	Ppp1r16b
Sox2	Ppp1r16b
Suz12	Ppp1r16b
Tcf3	Ppp1r16b
Esrrb	Ppp2r4
Zfp42	Ppp2r4
Klf4	Prdx4
Nanog	Prdx4
Tcf3	Prdx4
Esrrb	Prrc1
Klf4	Prrc1
Esrrb	Prtg
Klf4	Prtg
Mybl2	Prtg
Nanog	Prtg
Sox2	Prtg
Suz12	Prtg
Tbx3	Prtg
Tcf3	Prtg
Nanog	Psat1
Sox2	Psat1
Tcf3	Psat1
Klf4	Psmd2
Klf4	Ptchd1
Sox2	Ptchd1
Suz12	Ptchd1
Tcf3	Ptchd1
Tuba1a	Ptchd1
Esrrb	Ptma
Klf4	Ptma
Nanog	Ptma
Sox2	Ptma
Tcf3	Ptma
Zfp42	Ptma
Dppa5a	Ptov1
Klf4	Ptov1
Sox2	Ptov1
Suz12	Ptov1
Esrrb	Ptplad1
Ezh2	Ptprs
Klf4	Ptprs
Nanog	Ptprs
Sox2	Ptprs
Suz12	Ptprs
Tcf3	Ptprs
Zfp42	Ptprs
Klf4	Pwp1
Sox2	Pwp1
Tcf3	Pwp1
Nanog	Rala
Tbx3	Rala
Esrrb	Ran
Klf4	Ran
Nanog	Ran
Tcf3	Ran
Esrrb	Ranbp1
Klf4	Ranbp1
Nanog	Ranbp1
Tcf3	Ranbp1
Esrrb	Rap1b
Klf4	Rap1b
Nanog	Rap1b
Sox2	Rap1b
Tbx3	Rap1b
